0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
RT @AjepArts: The amount of people in my mentions trying so hard to defend a billion dollar studio corporation is wild af to me., the amount of people in my mentions trying so hard to defend a billion dollar studio corporation is wild af to me ,-0.09583333333333334,0.4708333333333333,negative,0.085,0.915,0.0,-0.2183
"RT @5555academy: $CBBT x PKG 💎

$SAVA went from $1.63 to $65 off “SCRATCHING THE SURFACE” on Alzheimer’s &amp; Dementia 🔋🌟🚀

So when people say…",  cbbt x pkg     sava went from  1 63 to  65 off  scratching the surface  on alzheimer s  amp  dementia      so when people say ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
A two dollar joint is still a good deal. $sndl,a two dollar joint is still a good deal   sndl,0.7,0.6000000000000001,positive,0.0,0.707,0.293,0.4404
RT @DonKwahn: I hate that dollar and a dream fairytale ass shit u can’t do nothin great in America without capital behind it.. no matter wh…, i hate that dollar and a dream fairytale ass shit u can t do nothin great in america without capital behind it   no matter wh ,-0.15,0.7875000000000001,negative,0.38,0.409,0.211,-0.7783
"RT @BabyNeedABottle: @JohnFetterman TEN TRILLION DOLLAR REWARD FOR PROOF OF BIG GROUNDHOG CORRUPTION STEALING SPRING!

STOP THE STEAL!",   ten trillion dollar reward for proof of big groundhog corruption stealing spring   stop the steal ,0.0,0.05,negative,0.382,0.462,0.155,-0.6597
Real hustler don’t run 🏃🏽‍♂️ to every dollar 🎯 Now don’t let that go over your head 😌😎💯,real hustler don t run       to every dollar   now don t let that go over your head    ,0.2,0.30000000000000004,neutral,0.0,1.0,0.0,0.0
“He told us about Trump’s son-in-law Jared Kushner who consummated a billion-dollar “bailout” deal with Qatar for a… https://t.co/d7iKKc8cYm, he told us about trump s son in law jared kushner who consummated a billion dollar  bailout  deal with qatar for a   ,0.0,0.0,negative,0.072,0.928,0.0,-0.1027
"See our latest #Healdton, OK job and click to apply: ASST STORE MGR in HEALDTON, OK - https://t.co/ENmhzheMqE #Retail",see our latest  healdton  ok job and click to apply  asst store mgr in healdton  ok      retail,0.5,0.6333333333333333,positive,0.0,0.773,0.227,0.5267
"RT @SenTinaSmith: I’m always in favor of dialogue but the 600 billion dollar proposal looks to me like a skimpy plan.
 
We need bold action…", i m always in favor of dialogue but the 600 billion dollar proposal looks to me like a skimpy plan    we need bold action ,0.21666666666666667,0.3833333333333333,positive,0.0,0.679,0.321,0.8176
"RT @fred_guttenberg: .@mtgreenee, your past and your present are coming together to CANCEL you.  Every dollar you brag about raising only m…",     your past and your present are coming together to cancel you   every dollar you brag about raising only m ,-0.08333333333333333,0.4166666666666667,negative,0.105,0.895,0.0,-0.25
"RT @OriginProtocol: Origin Dollar is currently earning 156.62% APY. 🚀🚀

Upgrade your stablecoins to $OUSD now. 

https://t.co/qJnUdZCrjn ht…", origin dollar is currently earning 156 62  apy      upgrade your stablecoins to  ousd now      ht ,0.0,0.4,neutral,0.0,1.0,0.0,0.0
"RT @QTRResearch: YELLEN SAYS CBO FORECAST SHOWS 'WE DESPERATELY NEED CONGRESS TO ACT' ON RESCUE PACKAGE

And by rescue package she means pr…", yellen says cbo forecast shows  we desperately need congress to act  on rescue package  and by rescue package she means pr ,-0.6,1.0,positive,0.096,0.662,0.243,0.6124
@davidgokhshtein MRPH 100 dollar soon. Small cap coin.,  mrph 100 dollar soon  small cap coin ,-0.25,0.4,neutral,0.0,1.0,0.0,0.0
As close as y’all boys watch me you’d think they’d be able to go dollar for dollar wit me but NOPE 😂😭,as close as y all boys watch me you d think they d be able to go dollar for dollar wit me but nope   ,0.5,0.625,neutral,0.0,1.0,0.0,0.0
@RepArmstrongND @GOPLeader America is already energy self-sufficient  and produced in America by Americans.and ship… https://t.co/98SnIoxlb7,    america is already energy self sufficient  and produced in america by americans and ship   ,0.0,0.0,positive,0.0,0.861,0.139,0.2732
"RT @FooeyFromPerth: We are forced to wear a mask whilst outside or face a $1000 dollar fine from the cops under this #McGowanLockdown, and…", we are forced to wear a mask whilst outside or face a  1000 dollar fine from the cops under this  mcgowanlockdown  and ,0.03888888888888888,0.25,negative,0.132,0.789,0.079,-0.296
We're hiring! Read about our latest job opening here: Dollar Tree - Sales Floor Associate $16-$35/hr -… https://t.co/qG0xtEHPlh,we re hiring  read about our latest job opening here  dollar tree   sales floor associate  16  35 hr     ,0.5,0.9,neutral,0.0,1.0,0.0,0.0
@MariaLaGuera742 @TheSydneyA It’s built upon prior amusement parks. The Rebel Railroad begat Goldrush Junction whic… https://t.co/p6ptOnekui,    it s built upon prior amusement parks  the rebel railroad begat goldrush junction whic   ,0.0,0.0,positive,0.106,0.728,0.166,0.2263
"Regardless of how you feel about that, short squeezes like we saw on $GME won’t work. 

Gonna grab some calls on… https://t.co/lfH7dUNS6R",regardless of how you feel about that  short squeezes like we saw on  gme won t work    gonna grab some calls on   ,0.0,0.3,positive,0.0,0.754,0.246,0.7351
"Hey @disneyplus Million dollar MCU show idea. Neil Gaiman’s Norse Mythology, but all the Norse Gods are portrayed b… https://t.co/lBh0HC2s7G",hey   million dollar mcu show idea  neil gaiman s norse mythology  but all the norse gods are portrayed b   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
